PREFIXO: ;3D-009
NOME DO POSTO: ;BUENOPOLIS
MUNICÍPIO: ;MORUNGABA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.950,00
LATITUDE: ;22°51'02"
LONGITUDE: ;46°46'47"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  09/1932;21,010;20,680;20,353;20,353;20,028;20,028;19,706;19,706;19,387;19,070;19,070;18,756;18,445;18,445;18,137;17,831;19,070;19,070;18,445;18,445;18,445;17,831;17,527;17,227;17,227;16,633;17,227;15,479;16,051;16,929;---;15,479;18,554;21,010
  10/1932;17,227;17,831;17,831;18,137;19,387;20,028;19,070;18,756;19,387;19,387;23,746;23,746;23,046;20,353;21,678;20,353;21,010;27,408;29,735;27,030;25,911;27,030;29,735;34,679;27,030;23,046;20,353;19,070;18,756;18,445;16,051;16,051;22,105;34,679
  11/1932;16,633;16,633;16,341;16,051;15,764;16,051;16,051;17,227;19,706;21,343;21,678;19,706;16,929;17,227;19,070;19,706;19,706;19,070;18,137;20,353;21,010;19,706;21,010;21,678;22,357;35,109;40,013;34,679;34,679;33,406;---;15,764;21,568;40,013
  12/1932;31,339;28,173;27,408;30,532;43,787;60,629;59,494;52,916;42,827;36,414;36,414;37,297;46,732;84,282;95,436;104,267;106,537;99,067;75,742;66,468;84,282;82,938;69,490;66,468;60,629;52,916;49,261;47,735;49,775;53,449;51,333;27,408;59,162;106,537
  01/1933;49,775;51,858;65,278;71,337;51,858;45,739;40,941;40,476;37,743;35,541;33,828;33,828;32,988;32,988;32,988;34,679;39,097;47,232;62,932;71,337;70,103;61,775;59,494;64,099;66,468;62,932;53,985;46,732;42,352;42,352;41,878;32,988;49,181;71,337
  02/1933;40,941;37,743;35,976;32,988;31,339;30,532;33,828;35,541;40,941;47,232;46,732;40,013;40,013;40,941;40,476;38,192;37,297;33,828;32,158;37,297;49,775;53,985;52,916;47,735;47,735;41,878;37,743;36,854;---;---;---;30,532;40,094;53,985
  03/1933;34,679;35,541;36,414;41,878;45,247;52,916;53,985;55,065;49,261;42,352;39,554;36,854;34,679;32,988;37,297;38,192;38,192;33,828;31,339;30,532;29,340;28,173;27,408;27,408;26,654;26,281;25,911;26,654;26,654;26,654;27,408;25,911;35,463;55,065
  04/1933;30,132;33,828;35,109;32,988;29,735;28,948;28,173;26,654;25,911;25,179;25,179;24,457;24,100;23,746;22,700;23,046;23,046;23,046;23,046;23,046;23,046;23,046;24,100;23,395;22,700;22,700;22,357;22,357;22,016;21,678;---;21,678;25,315;35,109
  05/1933;22,357;21,678;21,010;20,680;22,700;29,340;37,297;40,013;39,097;31,339;27,789;25,544;24,457;24,817;24,817;26,654;28,948;30,532;27,408;25,179;23,746;22,357;22,357;22,357;22,357;21,678;21,678;21,010;21,010;20,680;20,353;20,353;25,524;40,013
  06/1933;20,353;20,028;20,353;20,028;20,028;20,028;19,706;19,706;19,706;19,706;19,387;19,070;19,070;19,070;19,070;18,756;18,756;18,756;19,387;27,408;27,030;26,654;25,179;23,046;21,343;20,353;19,706;19,387;19,070;19,070;---;18,756;20,640;27,408
  07/1933;19,070;18,756;18,756;18,756;18,445;18,445;18,445;18,445;17,831;17,831;18,445;18,445;19,070;18,756;18,445;18,445;19,706;20,353;20,353;20,353;19,070;18,756;18,445;17,831;17,527;17,227;17,227;16,929;16,633;16,633;16,341;16,341;18,380;20,353
  08/1933;17,227;21,010;23,046;22,016;19,706;18,445;17,227;16,633;16,633;16,051;15,764;15,479;15,479;15,197;15,197;15,479;15,197;14,918;14,918;14,918;16,341;13,561;15,479;16,051;16,633;19,706;19,070;18,445;17,527;16,633;15,479;13,561;16,950;23,046
  09/1933;14,918;14,641;14,367;14,918;13,561;17,227;21,010;22,357;23,046;21,010;19,070;17,527;16,051;15,479;16,051;15,479;15,197;16,051;13,827;14,641;14,367;14,367;14,641;16,341;18,445;18,137;16,633;15,479;14,918;14,367;---;13,561;16,471;23,046
  10/1933;13,827;14,641;12,270;13,827;14,367;14,367;14,367;14,918;22,357;26,654;34,679;32,988;25,179;22,357;21,343;21,010;16,341;16,633;15,764;15,197;14,641;14,918;15,764;14,367;16,633;18,445;17,831;16,633;15,479;16,051;12,778;12,270;17,956;34,679
  11/1933;13,297;13,297;13,297;13,827;13,827;14,367;14,918;14,367;13,297;12,778;12,270;12,270;10,113;10,808;11,285;11,527;11,285;11,285;10,808;13,036;15,197;14,367;15,479;16,633;29,340;40,013;41,878;29,340;23,046;19,070;---;10,113;16,544;41,878
